1430139137639 - info: 2015-04-27T12:52:17.638Z;subscribeManyRoots;1 ms
1430139202235 - info: 2015-04-27T12:53:22.230Z;connect;4 ms
1430139202242 - info: 2015-04-27T12:53:22.242Z;getGuids;0 ms
1430139202243 - info: 2015-04-27T12:53:22.243Z;testIntf;0 ms
1430139202248 - info: 2015-04-27T12:53:22.247Z;subscribe;1 ms
1430139202257 - info: 2015-04-27T12:53:22.253Z;subscribeManyRoots;3 ms
1430139203878 - info: 2015-04-27T12:53:23.877Z;connect;1 ms
1430139203888 - info: 2015-04-27T12:53:23.888Z;getGuids;0 ms
1430139203889 - info: 2015-04-27T12:53:23.889Z;testIntf;0 ms
1430139203895 - info: 2015-04-27T12:53:23.895Z;subscribe;0 ms
1430139203908 - info: 2015-04-27T12:53:23.907Z;subscribeManyRoots;1 ms
1430139205056 - info: 2015-04-27T12:53:25.054Z;authenticate;2 ms
1430139205063 - info: 2015-04-27T12:53:25.062Z;subscribeManyRoots;1 ms
1430139205669 - info: 2015-04-27T12:53:25.667Z;connect;2 ms
1430139206664 - info: 2015-04-27T12:53:26.664Z;getGuids;0 ms
1430139206665 - info: 2015-04-27T12:53:26.665Z;testIntf;0 ms
1430139207667 - info: 2015-04-27T12:53:27.666Z;subscribe;0 ms
1430139208662 - info: 2015-04-27T12:53:28.659Z;subscribeManyRoots;3 ms
1430139210978 - info: 2015-04-27T12:53:30.978Z;deserialize;14 ms
1430139210983 - info: 2015-04-27T12:53:30.983Z;serialize;4 ms
1430139210985 - info: 2015-04-27T12:53:30.932Z;createContext;53 ms
1430139210998 - info: 2015-04-27T12:53:30.997Z;subscribe;1 ms
1430139211008 - info: 2015-04-27T12:53:31.001Z;subscribeManyRoots;7 ms
1430139211028 - info: 2015-04-27T12:53:31.025Z;subscribeManyRoots;3 ms
1430139211095 - info: 2015-04-27T12:53:31.095Z;readCompanyFile;15 ms
1430139211160 - info: 2015-04-27T12:53:31.160Z;deserialize;64 ms
1430139211211 - info: 2015-04-27T12:53:31.211Z;serialize;50 ms
1430139211212 - info: 2015-04-27T12:53:31.079Z;remoteCall2:{"masterGuid":"fb41702c-faba-b5c0-63a8-8d553bfe54a6","objGuid":"824fcb90-e726-9e54-d4bf-72c321252dbb","aparams":[["ab573a02-b888-b3b4-36a7-38629a5fe6b7"],{"rtype":"data","subDbGuid":"1c570dce-4a50-d22c-6b59-b01024684520"},null],"func":"loadNewRoots"};133 ms
1430139211731 - info: 2015-04-27T12:53:31.730Z;sendDelta;1 ms
1430139211733 - info: 2015-04-27T12:53:31.732Z;sendDelta;1 ms
1430139211737 - info: 2015-04-27T12:53:31.737Z;deserialize;2 ms
1430139211739 - info: 2015-04-27T12:53:31.738Z;serialize;0 ms
1430139211739 - info: 2015-04-27T12:53:31.730Z;remoteCall2:{"masterGuid":"fb41702c-faba-b5c0-63a8-8d553bfe54a6","objGuid":"824fcb90-e726-9e54-d4bf-72c321252dbb","aparams":[["8583ee1d-6936-19da-5ef0-9025fb7d1d8d"],{"rtype":"data","expr":1,"subDbGuid":"1c570dce-4a50-d22c-6b59-b01024684520"},null],"func":"loadNewRoots"};9 ms
1430139211753 - info: 2015-04-27T12:53:31.753Z;deserialize;12 ms
1430139211760 - info: 2015-04-27T12:53:31.760Z;serialize;6 ms
1430139211761 - info: 2015-04-27T12:53:31.729Z;remoteCall2:{"masterGuid":"fb41702c-faba-b5c0-63a8-8d553bfe54a6","objGuid":"824fcb90-e726-9e54-d4bf-72c321252dbb","aparams":[["b49d39c9-b903-cccd-7d32-b84beb1b76dc"],{"rtype":"data","expr":1,"subDbGuid":"1c570dce-4a50-d22c-6b59-b01024684520"},null],"func":"loadNewRoots"};31 ms
1430139211780 - info: 2015-04-27T12:53:31.780Z;deserialize;14 ms
1430139211787 - info: 2015-04-27T12:53:31.787Z;serialize;5 ms
1430139211788 - info: 2015-04-27T12:53:31.730Z;remoteCall2:{"masterGuid":"fb41702c-faba-b5c0-63a8-8d553bfe54a6","objGuid":"824fcb90-e726-9e54-d4bf-72c321252dbb","aparams":[["b49d39c9-b903-cccd-7d32-b84beb1b76dc"],{"rtype":"data","expr":1,"subDbGuid":"1c570dce-4a50-d22c-6b59-b01024684520"},null],"func":"loadNewRoots"};58 ms
1430139211794 - info: 2015-04-27T12:53:31.794Z;deserialize;3 ms
1430139211795 - info: 2015-04-27T12:53:31.795Z;serialize;1 ms
1430139211797 - info: 2015-04-27T12:53:31.730Z;remoteCall2:{"masterGuid":"fb41702c-faba-b5c0-63a8-8d553bfe54a6","objGuid":"824fcb90-e726-9e54-d4bf-72c321252dbb","aparams":[["8583ee1d-6936-19da-5ef0-9025fb7d1d8d"],{"rtype":"data","expr":1,"subDbGuid":"1c570dce-4a50-d22c-6b59-b01024684520"},null],"func":"loadNewRoots"};67 ms
1430139211832 - info: 2015-04-27T12:53:31.832Z;sendDelta;0 ms
1430139211833 - info: 2015-04-27T12:53:31.832Z;sendDelta;1 ms
1430139211975 - info: 2015-04-27T12:53:31.975Z;sendDelta;0 ms
1430139211977 - info: 2015-04-27T12:53:31.976Z;sendDelta;1 ms
1430139211980 - info: 2015-04-27T12:53:31.980Z;deserialize;1 ms
1430139211981 - info: 2015-04-27T12:53:31.981Z;serialize;0 ms
